ID_ENCUESTA;ID_VEHICULO;TIPOVEHICULO;COMBUSTIBLE;MUNICIPIO_MATRICULA;PERTENECE_VEHICULO;PERSONA_DUENOVEHICULO;EXENTO_PICOYPLACA;RAZON_EXENTO;DONDE_GUARDAVEHICULO;VALOR_PARQUEO
18587866;1;Moto;Solo gasolina;BOGOTA;N;;S;Fuerzas militares y policia;Garaje/parqueadero propio;
18587934;1;Moto;Solo gasolina;0;S;S;S;;Garaje/parqueadero propio;
18588108;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18588109;1;Campero;Diesel;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18588110;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18588204;1;Moto;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18589381;1;Campero;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18589382;1;Pick Up;Solo gasolina;CALI;S;S;S;Transporte especial;Garaje/parqueadero propio;
18589407;1;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
18589959;1;Moto;Solo gasolina;BOGOTA;S;N;S;;Garaje/parqueadero propio;
18589962;1;Moto;Solo gasolina;BOGOTA;S;N;S;;Garaje/parqueadero propio;
18589964;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18589966;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
18590053;1;Moto;Solo gasolina;FUNSA;S;S;S;Cuerpo Diplomatico;Garaje/parqueadero propio;
18590066;1;Automovil;Solo gasolina;CHIA;S;N;N;vacio;Garaje/parqueadero propio;
18590092;1;Moto;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18590095;1;Automovil;Solo gasolina;BOGOTA;S;S;S;Discapacidad fisica;Garaje/parqueadero propio;
18590258;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18590303;1;Moto;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18590344;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18590345;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18590345;2;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18590347;1;Campero;Diesel;CALERA;S;N;S;Empresa de servicios publicos;Garaje/parqueadero propio;
18590348;1;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
18590348;2;Campero;Diesel;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18590349;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18590349;2;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18590392;1;Campero;Solo gasolina;FACA;S;S;N;vacio;Garaje/parqueadero propio;
18590394;1;Moto;Solo gasolina;BOGOTA;S;N;S;;Garaje/parqueadero propio;
18590591;1;Automovil;Diesel;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18590828;1;Automovil;Solo gasolina;GIRARDOT;S;S;N;vacio;Garaje/parqueadero propio;
18590828;2;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18590943;2;Moto;Solo gasolina;BOGOTA;S;;S;;Garaje/parqueadero propio;
18591084;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18591091;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18591092;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18591110;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18591115;1;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
18591115;2;Campero;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18591115;3;Moto;Solo gasolina;BOGOTA;S;;S;;Garaje/parqueadero propio;
18591149;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18591247;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18591248;1;Campero;Diesel;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18591249;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18591249;2;Campero;Diesel;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18591355;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18591506;1;Automovil;Solo gasolina;99;S;S;N;vacio;Garaje/parqueadero propio;
18591508;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18591509;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18591512;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18591551;1;Automovil;GNV y gasolina;FUNZA;S;S;S;Transporte especial;Garaje/parqueadero propio;
18591551;2;Moto;Solo gasolina;BOGOTA;S;N;S;;Garaje/parqueadero propio;
18591551;3;Moto;Solo gasolina;BOGOTA;S;;S;;Garaje/parqueadero propio;
18591557;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18591570;1;Automovil;Solo gasolina;377;;;N;vacio;Garaje/parqueadero propio;
18591575;1;Automovil;Solo gasolina;BOGOTA;;;N;vacio;Garaje/parqueadero propio;
18591575;2;Campero;Solo gasolina;ESPINAL;;;N;vacio;Garaje/parqueadero propio;
18591592;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
18591882;2;Moto;Solo gasolina;BOGOTA;S;;S;;Garaje/parqueadero propio;
18591886;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18591886;2;Moto;Solo gasolina;1101;S;N;S;;Garaje/parqueadero propio;
