"AREA";"Zona_Num_N";"id";"LocNombre";"Latitud";"Longitud"
0.67;69;102;"USAQUEN";4.7238195;-74.0485849
0.32;70;103;"USAQUEN";4.7265866;-74.0436976
0.42;71;104;"USAQUEN";4.7201541;-74.0441757
0.35;62;105;"USAQUEN";4.7325771;-74.0430664
0.53;51;106;"USAQUEN";4.7385776;-74.0432378
0.55;122;107;"ENGATIVA";4.7136335;-74.102217
0.29;123;108;"ENGATIVA";4.7101019;-74.1035516
0.47;185;109;"ENGATIVA";4.7040436;-74.1058594
0.34;186;110;"ENGATIVA";4.7002186;-74.1088301
0.43;199;111;"ENGATIVA";4.697058;-74.1103038
0.45;121;112;"ENGATIVA";4.7174353;-74.1035545
0.85;103;113;"SUBA";4.720817;-74.0939037
0.28;102;114;"SUBA";4.7137072;-74.0865652
0.51;101;115;"SUBA";4.7200457;-74.0870443
0.31;100;116;"SUBA";4.7256189;-74.0868157
0.75;105;117;"SUBA";4.7300714;-74.0930556
0.37;96;118;"SUBA";4.7127103;-74.0755083
0.3;132;119;"SUBA";4.7092484;-74.0821859
0.32;95;120;"SUBA";4.7157442;-74.0716165
0.41;839;121;"SUBA";4.7275207;-74.0727122
0.99;89;122;"SUBA";4.7134126;-74.0564069
0.35;68;123;"SUBA";4.7224055;-74.0547616
0.9;93;124;"SUBA";4.7228284;-74.0631271
1.06;67;125;"SUBA";4.728803;-74.0567181
0.54;92;126;"SUBA";4.7136126;-74.0666911
1.19;44;127;"SUBA";4.7379104;-74.0692711
0.61;66;128;"SUBA";4.7360403;-74.0588827
0.53;45;129;"SUBA";4.7474464;-74.0671177
0.94;46;130;"SUBA";4.7483049;-74.062122
0.12;126;131;"SUBA";4.7157999;-74.092741
0.46;125;132;"ENGATIVA";4.7090791;-74.097951
0.46;129;133;"ENGATIVA";4.7047314;-74.0962398
0.38;184;134;"ENGATIVA";4.6987624;-74.0983596
0.28;183;135;"ENGATIVA";4.696585;-74.1028997
1.44;127;136;"SUBA";4.7055868;-74.0884574
0.4;91;137;"SUBA";4.7122831;-74.0616263
0.55;140;138;"SUBA";4.7059214;-74.0596532
0.65;139;139;"SUBA";4.7065072;-74.0679952
0.57;852;140;"USAQUEN";4.7012966;-74.0462569
0.72;138;141;"SUBA";4.695779;-74.0663018
0.97;133;142;"SUBA";4.7060629;-74.0758782
1.08;147;143;"USAQUEN";4.6995576;-74.0376163
0.5;851;144;"USAQUEN";4.6951698;-74.0473466
0.54;143;145;"SUBA";4.6922684;-74.0588527
0.18;142;146;"SUBA";4.6932149;-74.0616268
0.72;167;147;"BARRIOS UNIDOS";4.6830281;-74.0610043
0.34;153;148;"USAQUEN";4.6990947;-74.0314537
0.4;152;149;"USAQUEN";4.6890768;-74.0366462
0.63;148;150;"USAQUEN";4.69242;-74.0403816
0.35;850;151;"USAQUEN";4.6883672;-74.0492196
0.47;849;152;"CHAPINERO";4.6837141;-74.0549993
0.61;248;214;"CHAPINERO";4.6543398;-74.0499057
0.5;244;215;"CHAPINERO";4.6605066;-74.0474734
0.28;264;216;"CHAPINERO";4.667575;-74.0440688
0.42;265;217;"CHAPINERO";4.672939;-74.0389895
0.63;158;218;"USAQUEN";4.6819867;-74.0369483
